EWT,安碩MSCI臺灣ETF
EFV,EAFE價值股ETF-iShares
SPTL,SPDR Portfolio Long Term Treasury ETF
VGLT,長期國債ETF-Vanguard
VCLT,長期公司債ETF-Vanguard
MAGS,Roundhill Magnificent Seven ETF
JGLO,JPMORGAN GLOBAL SELECT EQUITY ETF
BOIL,兩倍做多彭博天然氣ETF-ProShares
EZU,歐元區ETF-iShares
BNDX,總體國際債券ETF-Vanguard
VIG,遞增股利ETF-Vanguard
VO,中盤股ETF-Vanguard
SPHY,SPDR SERIES TRUST Portfolio High Yield Bond ETF
PLTD,1倍做空PLTR ETF-Direxion
GBTC,比特幣ETF-Grayscale
USFR,Wisdom Tree彭博浮動利率國債基金
ETHU,2倍以太幣期貨ETF-Volatility Shares
VB,小盤股ETF-Vanguard
VGIT,中期國債ETF-Vanguard
EWW,墨西哥投資指數ETF-iShares MSCI
YANG,三倍做空富時中國ETF-Direxion
SPTI,SPDR SERIES TRUST Portfolio Intermediate Term Treasury ETF
TSLS,1倍做空TSLA ETF-Direxion
MCHI,MSCI中國ETF-iShares
SPYV,SPDR Portfolio S&P 500 Value ETF
UDOW,三倍做多道指30ETF-ProShares
MINT,PIMCO增強型短期到期主動型ETF
BSV,美國短期債券ETF-Vanguard
IGSB,1-5年投資級別公司債ETF-iShares
VEU,富時全球(除美國)ETF-Vanguard
STIP,iShares Barclays 0-5 Year TIPS Bond Fund
SPLV,Invesco標普低波動率ETF
IWV,羅素3000ETF-iShares
ITB,美國房屋建築業ETF-iShares
IWN,羅素2000價值股指數ETF-iShares
EMXC,iShares MSCI Emerging Markets ex China ETF
NVD,2倍做空NVDA ETF-GraniteShares
TSLT,2倍做多TSLA ETF-T-Rex
NVDD,1倍做空NVDA ETF-Direxion
SGOL,Abrdn Gold ETF Trust
FAZ,三倍做空金融指數ETF-Direxion
SRLN,SPDR黑石/GSO高級貸款ETF
OIH,石油服務指數ETF-VanEck
SPMO,Invesco S&P 500 Momentum ETF
NVDU,2倍做多NVDA ETF-Direxion
SDOW,三倍做空道指30ETF-ProShares
VGSH,短期國債ETF-Vanguard
IWO,羅素2000成長股指數ETF-iShares
PVAL,Principal Contrarian Value Index ETF
TSLZ,2倍做空TSLA ETF-T-Rex
BBIN,JP MORGAN ETF TRUST BETABUILDERS INTL EQUITY ETF
FNGB,MicroSectors FANG+ 3X Leveraged ETN
KOLD,2倍做空彭博天然氣ETF-ProShares
OEF,標普100指數ETF-iShares
FDN,互聯網指數ETF-First Trust
URA,鈾價ETF-Global X
BOXX,ALPHA ARCHITECT 1-3 MONTH BOX ETF
SCHB,嘉信美國整體市場ETF
ETHE,最大以太坊ETF-Grayscale
JETS,航空ETF-U.S. Global
SCZ,EFA小盤股ETF-ishares
FBND,富達總計債券ETF
SMCX,2倍做多SMCI ETF-Defiance
SJNK,美國短期高收益債ETF-SPDR
XLG,Invesco S&P 500 Top 50 ETF
UNG,美國天然氣ETF
MGK,大型成長股ETF-Vanguard
IXUS,iShares安碩核心MSCI全部國際股
FAS,三倍做多金融指數ETF-Direxion
LABD,三倍做空生物技術ETF-Direxion
CGDV,CAPITAL GROUP DIVIDEND VALUE ETF
COWZ,Pacer US Cash Cows 100 ETF
FTEC,富達MSCI信息技術指數ETF
NVDQ,2倍做空NVDA ETF-T-Rex
VV,大盤股ETF-Vanguard
TECL,三倍做多科技ETF-Direxion
URTH,iShares安碩MSCI全球ETF
BBAG,JPMorgan BetaBuilders US Aggregate Bond ETF
SPDW,SPDR投資組合發達世界(美國除外)ETF
IWP,羅素中型成長股指數ETF-iShares
EWG,德國ETF-iShares
VOOG,標普500成長股ETF-Vanguard
EMCS,Xtrackers MSCI Emerging Markets Climate Selection ETF
SCHZ,Schwab美國綜合債券ETF
PULS,PGIM ETF Trust
DFAC,DIMENSIONAL U.S. CORE EQUITY 2 ETF
BIV,美國中期債券ETF-Vanguard
MOAT,VanEck Vectors晨星Wide Moat ETF
CONL,2倍做多COIN ETF-GraniteShares
FHEQ,FIDELITY HEDGED EQUITY ETF
TSLR,2倍做多TSLA ETF-GraniteShares
KSA,iShares MSCI Saudi Arabia Capped ETF
VYM,高股利收益ETF-Vanguard
SPTM,SPDR Portfolio Total Stock Market ETF
URTY,ProShares UltraPro羅素2000
VLUE,iShares安碩MSCI美元價值因素
SPTS,SPDR Portfolio Short Term Treasury ETF
QYLD,納斯達克100備兌看漲期權ETF-Global X
PGX,Invesco優先股指數ETF
IUSB,安碩核心總美元債券市場ETF
TBIL,US TREASURY 3 MONTH BILL ETF
SVIX,1倍做空短期期貨恐慌指數ETF
VYMI,Vanguard International High Dividend Yield ETF
HIMZ,2倍做多HIMS ETF-Defiance
SPYI,NEOS S&P 500 HIGH INCOME ETF
GSUS,GOLDMAN SACHS MARKETBETA U.S. EQUITY ETF
KBE,銀行指數ETF-SPDR KBW
IONX,2倍做多IONQ ETF-Defiance
PHYS,Sprott Physical Gold Trust
TSDD,2倍做空TSLA ETF-GraniteShares
SCHO,嘉信短期美國國債ETF
VOT,中盤成長股ETF-Vanguard
FLOT,浮動利率債ETF-iShares
EWC,加拿大ETF-iShares MSCI
DGRO,安碩核心股利增長ETF
CGGR,CAPITAL GROUP GROWTH ETF
PFF,iShares優先股和收益證券ETF
EMLC,JPMorgan新興市場當地貨幣債券ETF-VanEck
HYLB,Deutsche X-trackers USD High Yield Corporate Bond ETF
ARKB,比特幣ETF-21Shares
JQUA,JPMorgan U.S. Quality Factor ETF
TFLO,iShares Treasury Floating Rate Bond ETF
ITA,iShares安碩美國航空航天與國防ETF
IWS,羅素中型價值股指數ETF-iShares
DYNF,iShares U.S. Equity Factor Rotation Active ETF
SPHB,PowerShares標準普爾500高Beta投資
SCHP,嘉信理財美國TIPs ETF
SBIT,2倍做空比特幣期貨ETF-Proshares
VBR,小盤價值股ETF-Vanguard
VONG,羅素1000成長指數ETF-Vanguard
IUSG,核心標普美國增長ETF-iShares
GGLL,2倍做多GOOGL-Direxion
IGIB,iShares Intermediate-Term Corporate Bond ETF
SPEM,SPDR Portfolio Emerging Markets ETF
AVUV,AMERICAN CENTURY ETF TRUST AVANTIS U S SMALL CAP VALUE ETF USD
ACWX,世界ACWI(除美國)ETF-iShares
IDEV,iShares Core MSCI International Developed Markets ETF
BBJP,JPMorgan BetaBuilders Japan ETF
USIG,iShares Broad USD Investment Grade Corporate Bond ETF
SPYU,MAX S&P 500 4X Leveraged ETN
XME,SPDR標普金屬與礦產業ETF
BITB,比特幣ETF-Bitwise
VXF,擴展市場ETF-Vanguard
CALF,Pacer US Small Cap Cash Cows 100 ETF
SPSM,SPDR Portfolio Small Cap ETF
SCHA,嘉信美國小盤股ETF
SPHQ,PowerShares標普500優質投資組合
DXJ,日本对冲股票ETF-WisdomTree
IWY,羅素領先200成長型ETF-iShares
VTIP,短期抗通膨債券ETF-Vanguard
EWA,澳大利亞ETF-iShares MSCI
IQLT,iShares MSCI Intl Quality Factor ETF
IUSV,核心美國價值ETF-iShares
SPLB,SPDR Portfolio Long Term Corporate Bond ETF
BINC,iShares Flexible Income Active ETF
UCO,兩倍做多彭博原油ETF-ProShares
DUHP,DIMENSIONAL US HIGH PROFITABILITY ETF
VDE,能源指數ETF-Vanguard
FNDX,Schwab Fundamental U.S. Large
AAAU,Goldman Sachs Physical Gold ETF
SRTY,ProShares三倍做空羅素2000指數ETF
BKLC,BNY MELLON US LARGE CAP CORE EQUITY ETF
BTC,Grayscale Bitcoin Mini Trust
FENY,MSCI能源指數ETF-富達
IHI,iShares安碩美國醫葯設備ETF
USD,ProShares Ultra半導體
SHYG,iShares安碩0-5年高收益公司債券
SVXY,做空波動率指數短期期貨ETF-ProShares
IAUM,ISHARES GOLD TRUST MICRO
CIBR,第一信托納斯達克網絡安全ETF
NUGT,2倍做多金礦指數ETF-Direxion
QQQI,NEOS NASDAQ 100 HIGH INCOME ETF
VBIL,Vanguard 0-3 Month Treasury Bill ETF
VHT,健康護理股ETF-Vanguard
CONY,COIN期權收益策略ETF-YieldMax
AGQ,2倍做多白銀ETF-ProShares
SPSB,SPDR Portfolio Short Term Corporate Bond ETF
VOE,中盤價值股ETF-Vanguard
SCHV,Schwab美國大盤價值ETF基金
BLV,美國長期債券ETF-Vanguard
NOBL,ProShares標普500股利貴族ETF
SIL,Global X白銀礦業ETF
FEZ,SPDR歐洲斯托克50指數ETF
SPMD,SPDR Portfolio Mid Cap ETF
THRO,iShares U.S. Thematic Rotation Active ETF
EWU,英國ETF-iShares MSCI
JMUB,JPMorgan Municipal ETF
VIXY,短期期貨恐慌指數ETF-Proshares
PJUN,INNOVATOR ETFS TRUST S&P 500 PWR BUFFER ETF JUNE
PLTY,PLTR期權收益策略ETF-YieldMax
FNDF,嘉信基本面國際大企業指數
DVY,股息指數ETF-iShares Dow Jones
GBIL,Goldman Sachs TreasuryAccess 0-1 YearETF
TSLY,TSLA期權收益策略ETF-YieldMax
EWH,香港ETF-iShares
AAPU,2倍做多AAPL ETF-Direxion
AMLP,Alerian MLP ETF
ESGU,iShares Trust iShares ESG Optimized ETF
IAGG,iShares Core International Aggregate Bond ETF
COPX,銅礦ETF-Global X
GDXU,三倍做多黃金礦業ETN-MicroSectors
UGL,2倍做多黃金ETF-ProShares
NVDY,NVDA期權收益策略ETF-YieldMax
FETH,以太幣ETF-Fidelity
PAAA,PGIM AAA CLO ETF
SPYD,SPDR S&P 500 High Dividend ETF
PDBC,PowerShares Actively Managed Exchange-Traded Commodity Fund Trust PowerShares Optimum Yield Diversified Commodity Strategy
ICSH,iShares Ultra Short Duration Bond Active ETF
EFG,iShares安碩MSCI EAFE增長ETF
EWI,意大利ETF-iShares
DGRW,WisdomTree美國優質股息增長ETF
IYE,iShares安碩美國能源ETF
FELC,FIDELITY ENHANCED LARGE CAP CORE ETF
ETH,低成本以太坊ETF-Grayscale
BULZ,MICROSECTORS FANG & INNOVATION 3X LEVERAGED ETN
TSLG,2倍做多TSLA ETF-Leverage Shares
AVDV,AMERICAN CENTURY ETF TRUST AVANTIS INTERNATIONAL SMALL CAP VAL ETF
KBWB,Powershares KBW銀行投資組合
SHLD,GLOBAL X DEFENSE TECH ETF
BILS,SPDR BLOOMBERG BARCLAYS 3-12 MONTH T-BILL ETF
VBK,小盤成長股ETF-Vanguard
DFIC,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF
IGLB,10+年投資級別公司債ETF-iShares
DSTL,Distillate US Fundamental Stability & Value ETF
SUB,安碩短期國家市政債券ETF基金
TMV,三倍做空20年期以上美國國債ETF-Direxion
VWOB,新興市場政府債ETF-Vanguard
VUSB,VANGUARD ULTRA-SHORT BOND ETF
SCHQ,SCHWAB STRATEGIC TR LONG TERM U S TREASURY ETF
SILJ,PureFunds ISE初級小市值銀礦開采ETF
SCHR,Schwab Intermediate-Term US Treasury ETF
XMMO,INVESCO EXCHANGE TRADED FD TR S&P MIDCAP MOMENTUM ETF
HDV,iShares安碩核心高股息ETF
ARGT,Global X MSCI阿根廷ETF
PYLD,PIMCO MULTI SECTOR BOND ACTIVE ETF
HEFA,安碩貨幣對沖MSCI EAFE ETF
EPI,印度收益ETF-WisdomTree
SPAB,SPDR Portfolio Aggregate Bond ETF
IEUR,核心MSCI歐洲ETF-iShares
EWL,瑞士ETF-ishares MSCI
VOX,通訊服務ETF-Vanguard
ACWV,iShares安碩MSCI最小波動率
SCHE,Schwab新興市場股票ETF
TECS,三倍做空科技ETF-Direxion
IGM,安碩北美科技ETF
OUNZ,VanEck Merk黃金股票基金
DUST,2倍做空金礦指數ETF-Direxion
DPST,三倍做多區域銀行股ETF-Direxion
NEAR,iShares Short Duration Bond Active ETF
JMST,JPMorgan Ultra-Short Municipal Income ETF
VDC,非週期性消費品ETF-Vanguard
ETHT,ProShares Ultra Ether ETF
FLCB,Franklin U.S. Core Bond ETF
BWX,國際主權債ETF-SPDR
SCHK,Schwab 1000 Index ETF
SCO,兩倍做空彭博原油ETF-Proshares
QTUM,Defiance Quantum ETF
RGTX,2倍做多RGTI ETF-Defiance
ARKG,基因進化ETF-ARK
FTSM,First Trust增強型短期限ETF
DFIV,DIMENSIONAL INTERNATIONAL VALUE ETF
EDV,美國延期國債ETF-Vanguard
IVOL,KRANESHARES TR QUADRATIC INT RTE VOL & INF HDG ETF
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF
ILF,iShares拉丁美洲40 ETF
RDVY,First Trust Rising Dividend Achievers ETF
DBEF,德銀X-trackers MSCI EAFE套期股
JGRO,JPMORGAN ACTIVE GROWTH ETF
DFSV,DIMENSIONAL US SMALL CAP VALUE ETF
GLL,2倍做空黃金ETF-ProShares
PPH,製藥ETF-VanEck
JBBB,JANUS HENDERSON B-BBB CLO ETF
FENI,FIDELITY ENHANCED INTERNATIONAL ETF
LMBS,第一信托短期機會ETF
YMAX,YIELDMAX UNIVERSE FUND OF OPTION INCOME ETFS
JNUG,2倍做多小型金礦指數-Direxion
JDST,2倍做空小型金礦指數-Direxion
AMZU,2倍做多AMZN ETF-Direxion
SMST,2倍做空MSTR ETF-Defiance
JIRE,JPMORGAN INTERNATIONAL RESEARCH ENHANCED EQUITY ETF
NUGO,NUVEEN GROWTH OPPORTUNITIES ETF
PDI,PIMCO Dynamic Income Fund
GDXD,MicroSectors Gold Miners -3X Inverse Leveraged ETNs
QBTX,2倍做多QBTS ETF-Tradr
KIE,保險指數ETF-SPDR KBW
CGUS,CAPITAL GROUP CORE EQUITY ETF
MSFT,微軟
NVDA,英偉達
AAPL,蘋果
AMZN,亞馬遜
GOOG,谷歌-C
GOOGL,谷歌-A
META,Meta Platforms
AVGO,博通
TSLA,特斯拉
BRK.B,伯克希爾-B
WMT,沃爾瑪
JPM,摩根大通
V,Visa
LLY,禮來
MA,萬事達
NFLX,奈飛
ORCL,甲骨文
COST,好市多
XOM,埃克森美孚
PG,寶潔
JNJ,強生
HD,家得寶
BAC,美國銀行
ABBV,艾伯維公司
PLTR,Palantir
KO,可口可樂
PM,菲利普莫里斯
TMUS,T-Mobile US
UNH,聯合健康
GE,GE航天航空
CRM,賽富時
CSCO,思科
WFC,富國銀行
IBM,IBM Corp
CVX,雪佛龍
ABT,雅培
MCD,麥當勞
LIN,林德氣體
ACN,埃森哲
INTU,財捷
NOW,ServiceNow
AXP,美國運通
MS,摩根士丹利
DIS,迪士尼
T,AT&T
ISRG,直覺外科公司
MRK,默沙東
VZ,Verizon
GS,高盛
RTX,雷神技術
PEP,百事可樂
BKNG,Booking Holdings
AMD,美國超微公司
ADBE,Adobe
UBER,優步
PGR,前進保險
TXN,德州儀器
CAT,卡特彼勒
SCHW,嘉信理財
QCOM,高通
SPGI,標普全球
BA,波音
BSX,波士頓科學
AMGN,安進
TMO,賽默飛世爾
BLK,貝萊德
SYK,史賽克
HON,霍尼韋爾
NEE,新紀元能源
TJX,TJX公司
C,花旗集團
DE,迪爾股份
GILD,吉利德科學
DHR,丹納赫
PFE,輝瑞
UNP,聯合太平洋
ADP,自動數據處理
GEV,GE Vernova
CMCSA,康卡斯特
PANW,Palo Alto Networks
LOW,勞氏
AMAT,應用材料
ETN,伊頓
COF,第一資本信貸
CB,安達保險
CRWD,CrowdStrike
MMC,威達信
VRTX,福泰製藥
LMT,洛克希德馬丁
ANET,Arista Networks
APH,安費諾
KKR,KKR & Co
COP,康菲石油
MDT,美敦力
ADI,亞德諾
BX,黑石
MU,美光科技
CME,芝加哥商品交易所
LRCX,泛林集團
ICE,洲際交易所
MO,奧馳亞
WELL,Welltower
PLD,安博
AMT,美國電塔
KLAC,科磊
SO,美國南方公司
BMY,施貴寶
WM,美國廢物管理
TT,Trane技術
CEG,Constellation Energy
SBUX,星巴克
HCA,HCA醫療
DUK,杜克能源
CTAS,信達思
FI,費哲金融服務
MCK,麥克森
SHW,宣偉公司
NKE,耐克
AJG,亞瑟加拉格爾
DASH,DoorDash
MDLZ,億滋
EQIX,易昆尼克斯
ELV,Elevance Health
MCO,穆迪
INTC,英特爾
PH,派克漢尼汾
CI,信諾
UPS,聯合包裹
TDG,TransDigm
CVS,西維斯健康
RSG,共和廢品處理
AON,怡安保險
MMM,3M
ABNB,愛彼迎
CDNS,鏗騰電子
ORLY,奧萊利
FTNT,飛塔信息
DELL,戴爾科技
CL,高露潔
ECL,藝康集團
ZTS,Zoetis
GD,通用動力
APO,阿波羅全球管理
WMB,威廉姆斯
MAR,萬豪酒店
SNPS,新思科技
ITW,伊利諾伊機械
RCL,皇家加勒比郵輪
NOC,諾斯羅普格魯曼
MSI,摩托羅拉解決方案
PNC,PNC金融服務集團
HWM,Howmet Aerospace
PYPL,PayPal
USB,美國合眾銀行
CMG,奇波雷墨西哥燒烤
EMR,艾默生電氣
JCI,江森自控
WDAY,Workday
BK,紐約梅隆銀行
ADSK,歐特克
COIN,Coinbase
TRV,旅行者財產險集團
AZO,汽車地帶
MNST,怪物飲料
KMI,金德爾摩根
APD,Air Products & Chemicals
ROP,儒博實業
CARR,開利全球
CSX,CSX運輸
EOG,EOG能源
HLT,希爾頓酒店
NEM,紐曼礦業
AXON,Axon Enterprise
DLR,數字房地產信托公司
PAYX,沛齊
COR,Cencora
AFL,美國家庭壽險
NSC,諾福克南方
CHTR,特許通訊
ALL,好事達
AEP,美國電力
FCX,麥克莫蘭銅金
VST,Vistra Energy
PSA,公共存儲公司
SPG,西蒙地產
REGN,再生元製藥公司
MET,大都會人壽
FDX,聯邦快遞
GWW,美國固安捷
TFC,Truist Financial
SRE,桑普拉能源
O,Realty Income
PWR,廣達服務
OKE,歐尼克(萬歐卡)
CPRT,科帕特
BDX,碧迪醫療
MPC,馬拉松原油
PCAR,帕卡
AIG,美國國際集團
AMP,阿莫斯萊斯金融
D,道明尼資源
CTVA,Corteva
NXPI,恩智浦
NDAQ,納斯達克
GM,通用汽車
TEL,泰科電子
FAST,快扣
PSX,Phillips 66
ROST,羅斯百貨
URI,聯合租賃
EW,愛德華生命科學
KVUE,Kenvue
KDP,Keurig Dr Pepper
LHX,L3Harris Technologies
KR,克羅格
SLB,斯倫貝謝
CMI,康明斯
EXC,愛克斯龍電力
VRSK,Verisk分析
CCI,冠城國際
MSCI,MSCI Inc
TGT,塔吉特
GLW,康寧
FICO,Fair Isaac
FIS,繁德信息技術
IDXX,愛德士
F,福特汽車
AME,阿美特克
HES,赫斯
PEG,公務集團
XEL,埃克西爾能源
VLO,瓦萊羅能源
TTWO,Take-Two互動軟體件
OXY,西方石油
YUM,Yum! Brands
CTSH,高知特
FANG,Diamondback Energy
GRMN,佳明
LULU,Lululemon Athletica
ED,愛迪生聯合電氣
OTIS,奧的斯
CBRE,世邦魏理仕
ETR,安特吉
PCG,太平洋煤電
HIG,哈特福德金融
CAH,卡地納健康
PRU,保德信金融
BKR,Baker Hughes
DHI,霍頓房屋
EA,藝電
RMD,瑞思邁
ACGL,艾奇資本
ROK,羅克韋爾自動化
SYY,西思科公司
VMC,火神材料
WAB,美國西屋制動
WEC,威州能源
TRGP,Targa Resources
ODFL,Old Dominion Freight Line
EBAY,eBay
DXCM,德康醫療
IT,加特納
VICI,VICI Properties
MLM,馬丁-瑪麗埃塔材料
EQT,EQT能源
IR,英格索蘭
EFX,艾可菲
HSY,好時
BRO,Brown & Brown
GEHC,GE HealthCare Technologies
LYV,Live Nation Entertainment
EXR,Extra Space Storage
A,安捷倫科技
STZ,星座品牌
MPWR,Monolithic Power Systems
KHC,卡夫亨氏
DAL,達美航空
CCL,嘉年華郵輪
WTW,韋萊韜悅
MCHP,微芯科技
CSGP,科斯塔
XYL,賽萊默
NRG,NRG Energy
GIS,通用磨坊
RJF,瑞傑金融
AVB,阿灣物產
MTB,美國制商銀行
IRM,鐵山
LVS,金沙集團
ANSS,安斯科技
VTR,芬塔公司
K,家樂氏
BR,Broadridge金融解決方案
DTE,DTE能源
WRB,WR柏克利
HUM,哈門那
CNC,康西哥
LEN,萊納建築
DD,杜邦
AWK,美國水務
ROL,Rollins
EXE,Expand Energy
STT,道富銀行
KEYS,Keysight Technologies
EQR,資產住宅公司
AEE,阿曼瑞恩
GDDY,GoDaddy
UAL,聯合大陸航空
PPL,賓州電力
TSCO,拖拉機供應公司
TPL,Texas Pacific Land
VRSN,威瑞信
FITB,五三銀行
IP,國際紙業
NUE,紐柯鋼鐵
PPG,PPG工業
DRI,達登飯店
VLTO,Veralto Corp
STX,希捷科技
SBAC,SBA通信公司
TYL,泰勒科技
FOXA,福克斯公司-A
WBD,Warner Bros Discovery
ATO,Atmos Energy
DOV,都福集團
CNP,中點能源
IQV,艾昆緯
CHD,丘奇&德懷特
FE,第一能源
STE,思泰瑞醫療
EL,雅詩蘭黛
MTD,梅特勒-托利多
CBOE,芝加哥期權交易所
SMCI,超微電腦
FTV,Fortive
ES,Eversource Energy
CDW,CDW Corp
CINF,辛辛納提金融
HPQ,惠普
TDY,Teledyne Technologies
ADM,Archer Daniels Midland
CPAY,Corpay
PODD,銀休特
HBAN,亨廷頓銀行
HPE,慧與科技
SW,Smurfit WestRock
FOX,福克斯公司-B
SYF,Synchrony Financial
EIX,愛迪生國際
DG,美國達樂公司
EXPE,Expedia
ULTA,Ulta美容
CMS,CMS能源
AMCR,Amcor
LH,徠博科
NVR,NVR Inc
HUBB,哈勃集團
WAT,沃特世
NTRS,北方信託
INVH,Invitation Homes
TROW,普信集團
NTAP,美國網存
PTC,PTC Inc
LII,雷諾士
TSN,泰森食品
WSM,Williams-Sonoma
PHM,普得集團
DOW,陶氏化學
